#,Name,Team,W,L,SV,G,GS,IP,K/9,BB/9,HR/9,BABIP,LOB%,GB%,ERA,FIP,WAR
498,Dylan Ross,NYM,1,1,0,27,0,27,9.41,4.38,0.99,0.29,74.60%,43.70%,3.81,4.05,0.1
499,Kyle Hart,SDP,2,2,0,48,0,48,8.09,2.87,1.19,0.293,73.60%,41.50%,3.97,4.14,0.1
500,Hogan Harris,ATH,3,3,10,66,0,66,8.69,3.96,1.16,0.294,73.40%,39.30%,4.15,4.32,0.1
501,Anthony Nunez,BAL,1,1,0,25,0,25,9.32,3.98,1.07,0.301,73.40%,44.10%,4.03,4.07,0.1
502,Philip Abner,ARI,1,1,0,27,0,27,8.14,3.68,1.02,0.302,72.80%,43.20%,4.09,4.15,0.1
503,Tyler Gilbert,CHW,2,2,0,40,0,40,7.98,3.21,1.29,0.291,73.70%,38.60%,4.18,4.42,0.1
504,Michael Kopech,,2,2,0,38,0,38,9.92,4.85,1.16,0.29,72.90%,36.20%,4.3,4.36,0.1
505,Mason Fluharty,TOR,2,2,0,42,0,42,9.16,3.78,1.15,0.288,74.80%,39.30%,3.9,4.14,0.1
506,AJ Blubaugh,HOU,2,2,0,39,2,46,8.35,3.49,1.34,0.289,72.60%,38.60%,4.37,4.48,0.1
507,Packy Naughton,STL,1,1,0,14,0,14,8.27,2.96,0.94,0.297,74.50%,46.10%,3.58,3.76,0.1
508,Michel Otañez,TEX,1,1,0,18,0,18,10.54,4.75,0.97,0.296,74.50%,42.20%,3.83,3.95,0.1
509,José Leclerc,,1,1,0,28,0,28,9.64,3.89,1.21,0.284,73.70%,34.30%,4.05,4.16,0.1
510,Hunter Bigge,TBR,2,2,0,44,0,44,9.15,3.8,1.22,0.29,73.40%,37.70%,4.15,4.24,0.1
511,Enyel De Los Santos,HOU,3,3,0,60,0,60,8.81,3.44,1.32,0.291,73.00%,37.20%,4.27,4.36,0.1
512,Craig Yoho,MIL,2,2,0,42,0,42,9.03,4.08,1.03,0.294,73.60%,44.50%,3.97,4.13,0.1
513,Michael Fulmer,SFG,1,1,0,21,0,21,8.98,3.44,1.09,0.292,73.30%,38.90%,3.93,3.98,0.1
514,Cam Booser,TBR,1,1,0,14,0,14,9.8,3.87,1.19,0.289,75.20%,35.70%,3.9,4.09,0.1
515,Tyler Alexander,TEX,3,4,0,66,2,72.2,7.35,2.46,1.49,0.292,72.20%,34.60%,4.5,4.58,0.1
516,Dax Fulton,MIA,1,2,0,20,2,27.1,7.57,4.13,1.02,0.298,72.70%,46.50%,4.21,4.44,0.1
